('of', 'the'),510947
('the', 'and'),224430
('the', 'in'),183958
('the', 'to'),183170
('of', 'and'),123107
('of', 'a'),118431
('the', 'a'),97961
('and', 'to'),85858
('of', 'in'),81810
('and', 'a'),77864
('the', 'was'),76620
('of', 'to'),75468
('and', 'in'),70064
('the', 'on'),69250
('the', 'is'),67636
('a', 'to'),65989
('a', 'in'),61618
('thou', 'thy'),61573
('the', 'that'),60898
('the', 'by'),57937
('the', 'with'),53452
('the', 'he'),53021
('the', 'for'),52857
('the', 'at'),51349
('the', 'as'),50608
('thou', 'thee'),50113
('the', 'it'),49230
('to', 'be'),46360
('in', 'to'),44029
('the', 'from'),43469
('thy', 'thee'),41290
('of', 'was'),39932
('the', 'i'),39820
('and', 'his'),39351
('to', 'i'),39243
('it', 'to'),38464
('the', 'which'),38236
('and', 'was'),38179
('of', 'his'),38108
('the', 'his'),37955
('of', 'that'),36607
('and', 'i'),36412
('a', 'was'),36281
('and', 'he'),34987
('to', 'was'),34803
('of', 'is'),34043
('the', 'had'),33704
('art', 'thou'),33468
('and', 'it'),33369
('to', 'he'),33149
('is', 'it'),32274
('you', 'to'),32092
('the', 'but'),31204
('is', 'a'),30391
('it', 'was'),30291
('and', 'with'),30077
('of', 'it'),30045
('that', 'to'),30004
('to', 'his'),29800
('he', 'was'),29688
('and', 'that'),28867
('with', 'a'),28778
('act', 'scene'),28737
('you', 'i'),28728
('of', 'he'),28581
('a', 'as'),28426
('in', 'was'),28257
('of', 'by'),27799
('the', 'be'),27650
('of', 'on'),27226
('the', 'not'),26734
('it', 'a'),26536
('as', 'to'),26503
('in', 'his'),26269
('for', 'a'),26123
('is', 'to'),26116
('and', 'is'),26074
('a', 'he'),26027
('of', 'as'),25730
('and', 'her'),25505
('scene', 'enter'),25319
('and', 'as'),25290
('and', 'for'),25193
('that', 'i'),25159
('the', 'all'),25023
('of', 'with'),24955
('to', 'her'),24867
('a', 'i'),24695
('and', 'by'),24225
('act', 'enter'),24008
('the', 'or'),23938
('of', 'this'),23788
('thou', 'hast'),23777
('have', 'i'),23655
('of', 'i'),23474
('the', 'you'),23394
('a', 'that'),23049
('in', 'he'),22770
('the', 'are'),22683
('of', 'which'),22653
('the', 'this'),22651
('of', 'for'),22439
('that', 'was'),22429
('his', 'he'),22281
('to', 'him'),22201
('the', 'her'),22111
('and', 'on'),21817
('o', 'thou'),21797
('not', 'to'),21738
